time_stamp,2.5_um_count,10.0_um_count,pm2.5_atm,pm10.0_atm,latitude,longitude
2025-01-26 14:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 14:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 14:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 15:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 15:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 15:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 15:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 15:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 15:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 16:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 16:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 16:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 16:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 16:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 16:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 17:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 17:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 17:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 17:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 17:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 17:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 18:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 18:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 18:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 18:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 18:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 18:50:00,0.356,0.0,1.792,2.3760000000000003,33.51024,-117.68824
2025-01-26 19:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 19:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 19:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 19:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 19:40:00,0.0,0.0,0.0,0.002,33.51024,-117.68824
2025-01-26 19:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 20:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 20:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 20:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 20:30:00,2.797,0.0,4.341,5.366,33.51024,-117.68824
2025-01-26 20:40:00,1.872,0.0,5.218,6.378,33.51024,-117.68824
2025-01-26 20:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 21:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 21:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 21:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 21:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 21:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 21:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 22:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 22:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 22:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 22:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 22:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 22:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 23:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 23:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 23:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 23:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 23:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-26 23:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 00:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 00:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 00:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 00:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 00:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 00:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 01:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 01:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 01:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 01:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 01:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 01:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 02:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 02:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 02:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 02:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 02:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 02:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 03:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 03:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 03:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 03:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 03:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 03:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 04:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 04:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 04:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 04:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 04:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 04:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 05:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 05:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 05:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 05:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 05:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 05:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 06:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 06:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 06:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 06:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 06:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 06:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 07:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 07:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 07:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 07:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 07:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 07:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 08:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 08:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 08:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 08:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 08:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 08:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 09:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 09:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 09:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 09:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 09:40:00,0.545,0.0,0.902,1.533,33.51024,-117.68824
2025-01-23 09:50:00,0.0,0.0,0.288,0.685,33.51024,-117.68824
2025-01-23 10:00:00,0.0,0.0,0.0,0.002,33.51024,-117.68824
2025-01-23 10:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 10:20:00,0.0,0.0,0.074,0.17,33.51024,-117.68824
2025-01-23 10:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 10:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 10:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 11:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 11:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 11:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 11:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 11:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 11:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 12:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 12:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 12:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 12:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 12:40:00,0.0,0.0,0.0,0.008,33.51024,-117.68824
2025-01-23 12:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 13:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 13:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 13:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 13:30:00,0.0,0.0,0.0,0.004,33.51024,-117.68824
2025-01-23 13:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 13:50:00,0.0,0.0,0.0,0.002,33.51024,-117.68824
2025-01-23 14:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 14:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 14:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 14:30:00,0.0,0.0,0.004,0.004,33.51024,-117.68824
2025-01-23 14:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 14:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 15:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 15:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 15:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 15:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 15:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 15:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 16:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 16:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 16:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 16:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 16:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 16:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 17:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 17:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 17:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 17:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 17:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 17:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 18:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 18:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 18:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 18:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 18:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 18:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 19:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 19:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 19:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 19:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 19:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 19:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 20:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 20:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 20:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 20:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 20:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 20:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 21:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 21:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 21:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 21:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 21:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 21:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 22:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 22:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 22:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 22:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 22:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 22:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 23:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 23:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 23:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 23:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 23:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-23 23:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 00:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 00:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 00:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 00:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 00:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 00:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 01:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 01:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 01:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 01:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 01:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 01:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 02:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 02:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 02:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 02:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 02:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 02:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 03:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 03:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 03:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 03:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 03:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 03:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 04:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 04:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 04:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 04:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 04:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 04:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 05:00:00,0.0,0.0,0.073,0.505,33.51024,-117.68824
2025-01-24 05:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 05:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 05:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 05:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 05:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 06:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 06:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 06:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 06:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 06:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 06:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 07:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 07:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 07:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 07:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 07:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 07:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 08:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 08:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 08:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 08:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 08:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 08:50:00,0.009,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 09:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 09:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 09:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 09:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 09:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 09:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 10:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 10:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 10:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 10:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 10:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 10:50:00,0.009,0.0,0.0,0.002,33.51024,-117.68824
2025-01-24 11:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 11:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 11:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 11:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 11:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 11:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 12:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 12:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 12:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 12:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 12:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 12:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 13:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 13:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 13:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 13:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 13:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 13:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 14:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 14:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 14:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 14:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 14:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 14:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 15:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 15:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 15:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 15:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 15:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 15:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 16:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 16:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 16:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 16:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 16:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 16:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 17:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 17:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 17:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 17:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 17:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 17:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 18:00:00,0.0,0.0,0.0,0.004,33.51024,-117.68824
2025-01-24 18:10:00,0.0,0.0,0.094,0.194,33.51024,-117.68824
2025-01-24 18:20:00,0.0,0.0,0.028,0.091,33.51024,-117.68824
2025-01-24 18:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 18:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 18:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 19:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 19:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 19:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 19:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 19:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 19:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 20:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 20:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 20:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 20:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 20:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 20:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 21:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 21:10:00,0.0,0.0,0.0,0.009,33.51024,-117.68824
2025-01-24 21:20:00,0.0,0.0,0.0,0.013,33.51024,-117.68824
2025-01-24 21:30:00,0.0,0.0,0.0,0.031,33.51024,-117.68824
2025-01-24 21:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 21:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 22:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 22:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 22:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 22:30:00,0.0,0.0,0.0,0.013,33.51024,-117.68824
2025-01-24 22:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 22:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 23:00:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 23:10:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 23:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 23:30:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 23:40:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-24 23:50:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
2025-01-07 00:00:00,0.0,0.0,0.0,0.057,33.51024,-117.68824
2025-01-07 00:10:00,0.0,0.0,0.028,0.092,33.51024,-117.68824
2025-01-07 00:20:00,0.0,0.0,0.0,0.0,33.51024,-117.68824
